ID,Modelo,Sismo,PGA,PGV,PGD,Dur,Ia,T,Costo,R1,R2,R3,R4,R5,R6,D1,D2,D3,D4,D5,D6
1,1,6,2.35,0.75,0.41,97.33,7.31,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.0041199,0.00381834,0.00456017,0.004021,0.0010718,0.000562
2,1,0,2.81,0.44,0.22,55.44,3.35,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.00612788,0.00580462,0.0068952,0.0065362,0.0017347,0.0009518
3,1,2,2.24,0.36,0.14,55.09,2.71,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.00721305,0.00738355,0.0091971,0.0082476,0.0019071,0.0010113
4,1,1,2.14,0.44,0.26,59.1,3.02,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.00854806,0.00817164,0.0111179,0.0102498,0.0023151,0.0012322
5,1,5,2.15,0.83,0.37,89.27,6.04,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.00379576,0.0033606,0.00375094,0.0033437,0.0009114,0.0004776
6,2,3,1.75,0.34,0.28,45.39,2.03,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0212674,0.0171691,0.002452,0.0020682,0.0115305,0.011784
7,2,6,2.35,0.75,0.41,97.33,7.31,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0116126,0.0096352,0.001598,0.001331,0.0057538,0.0054039
8,2,1,2.14,0.44,0.26,59.1,3.02,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0134818,0.0112767,0.0019582,0.0020248,0.0115078,0.0123099
9,2,2,2.24,0.36,0.14,55.09,2.71,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0176654,0.0152486,0.0023749,0.0021918,0.0122557,0.0120802
10,2,4,2.17,0.78,0.32,90.35,6.79,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0111515,0.0094682,0.0016436,0.0013962,0.0056355,0.0053271
11,3,5,2.15,0.83,0.37,89.27,6.04,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.00459708,0.0014238,0.00176124,0.00142752,0.00145852,0.0009021
12,3,3,1.75,0.34,0.28,45.39,2.03,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.0113771,0.0032975,0.0042089,0.0039777,0.0045401,0.0029134
13,3,0,2.81,0.44,0.22,55.44,3.35,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.0154215,0.0039626,0.0056995,0.0049067,0.0056801,0.0037886
14,3,8,1.92,0.66,0.29,86.89,6.91,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.00427048,0.00143738,0.0018228,0.00143762,0.00149598,0.0009453
15,3,10,1.64,0.56,0.22,105.37,5.89,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.00349237,0.001213,0.00157691,0.00123928,0.0013035,0.00082645
16,4,0,2.81,0.44,0.22,55.44,3.35,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00565411,0.01044187,0.0049613,0.0032753,0.0019719,0.0021026
17,4,1,2.14,0.44,0.26,59.1,3.02,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00704774,0.01376686,0.0059765,0.0036338,0.0020867,0.0021848
18,4,6,2.35,0.75,0.41,97.33,7.31,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00442415,0.00731765,0.0035609,0.0021029,0.0012197,0.0012511
19,4,10,1.64,0.56,0.22,105.37,5.89,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00297586,0.00469636,0.00240247,0.0014496,0.0008404,0.0008553
20,4,4,2.17,0.78,0.32,90.35,6.79,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00333163,0.00513814,0.00253005,0.0014777,0.0008342,0.0008348
21,5,0,2.81,0.44,0.22,55.44,3.35,0.400364506,14323.8244,5.45554E+12,3.43949E+12,3.05651E+12,1.0281E+13,1.05921E+13,8.01501E+12,0.00596948,0.0094594,0.0085062,0.0033827,0.0021649,0.00166
